x	y	time	xaccel	yaccel
0	0	0.040999889	0	-0.600000024
0.012682637	0.012682637	0.023000002	0.280000001	-0.790000021
0.179981355	0.179981355	0.023000002	4.510000229	3.230000019
0.353845296	0.353845296	0.020999908	4.46999979	-2.710000038
0.644314745	0.644314745	0.019999981	5.710000038	-1.070000052
1.057953983	1.057953983	0.019999981	3.289999962	-0.449999988
1.522391513	1.522391513	0.019999981	4.929999828	-1.389999986
2.02030785	2.02030785	0.020999908	0.589999974	2.599999905
2.657527043	2.657527043	0.023000002	2.819999933	-2.670000076
3.351782294	3.351782294	0.02699995	1.470000029	0.610000014
4.313941004	4.313941004	0.020999908	-1.429999948	3
5.029198666	5.029198666	0.023000002	1.620000005	-1.690000057
5.944340172	5.944340172	0.023999929	3.220000029	-0.540000021
6.929097898	6.929097898	0.023000002	0.49000001	-3.470000029
7.805622327	7.805622327	0.023000002	-2.299999952	2.869999886
8.92340813	8.92340813	0.023000002	1.49000001	-1.110000014
9.869415759	9.869415759	0.019999981	2.480000019	-4.179999828
10.70120737	10.70120737	0.031999826	0.449999988	1.610000014
12.26803008	12.26803008	0.022000074	1.379999995	-0.709999979
13.29807856	13.29807856	0.019000053	0.379999995	2.230000019
14.22679367	14.22679367	0.019000053	1.059999943	-0.379999995
15.22073168	15.22073168	0.023000002	0.850000024	1.419999957
16.37376063	16.37376063	0.025000095	-0.100000001	5.010000229
17.58853	17.58853	0.022000074	1.700000048	1.210000038
18.73105462	18.73105462	0.023000002	0.310000002	-2.099999905
19.93083117	19.93083117	0.023999929	1.25	-0.829999983
21.20697896	21.20697896	0.020999908	0.949999988	0.300000012
22.21742602	22.21742602	0.019999981	-1.419999957	-0.720000029
23.22637376	23.22637376	0.021999836	-1.25	0.479999989
24.24592771	24.24592771	0.020999908	-0.310000002	-1.480000019
25.33114336	25.33114336	0.022000074	-0.430000007	-1.649999976
26.461362	26.461362	0.020999908	-0.899999976	2.930000067
27.57983225	27.57983225	0.022000074	-1.039999962	1.659999967
28.68967163	28.68967163	0.021999836	0.100000001	-5.75
29.82137918	29.82137918	0.036000013	1.779999971	0.930000007
31.54669349	31.54669349	0.02699995	-0.879999995	0.449999988
32.92924342	32.92924342	0.022000074	1.309999943	-1.830000043
33.9895046	33.9895046	0.019000053	1.330000043	-4.28000021
35.04142295	35.04142295	0.021000147	-1.629999995	1.409999967
36.18675215	36.18675215	0.021000147	-1.470000029	-0.140000001
37.32935448	37.32935448	0.022000074	0.709999979	-1.940000057
38.44506151	38.44506151	0.019999981	1.600000024	-1.679999948
39.50941506	39.50941506	0.023000002	1.549999952	-0.129999995
40.76773686	40.76773686	0.023999929	2.109999895	-0.140000001
41.94587716	41.94587716	0.022000074	-0.810000002	3.349999905
43.1508605	43.1508605	0.019999981	0.709999979	-4.090000153
44.25634492	44.25634492	0.019999981	0.140000001	-2.769999981
45.26175588	45.26175588	0.020999908	0.409999996	-2.789999962
46.37513934	46.37513934	0.021000147	-0.319999993	0.370000005
47.5528483	47.5528483	0.021000147	-0.949999988	3.779999971
48.74955626	48.74955626	0.022000074	-0.850000024	1.039999962
49.94961082	49.94961082	0.036000013	0.589999974	-0.079999998
51.68958119	51.68958119	0.020999908	-0.959999979	1.639999986
52.96603332	52.96603332	0.019999981	-0.680000007	2.829999924
54.00767152	54.00767152	0.022000074	0.680000007	-1.50999999
55.25076974	55.25076974	0.021000147	1.99000001	-4.579999924
56.43198414	56.43198414	0.023999929	-0.029999999	-0.660000026
57.68558776	57.68558776	0.022000074	-0.409999996	-0.419999987
58.86347105	58.86347105	0.020999908	-1.830000043	1.429999948
60.04402947	60.04402947	0.022000074	-0.74000001	2.539999962
61.26025419	61.26025419	0.023999929	-0.270000011	1.00999999
62.53387712	62.53387712	0.022000074	-0.219999999	-1.769999981
63.69353128	63.69353128	0.023000002	1.370000005	-2.839999914
64.93725479	64.93725479	0.022000074	0.639999986	-2.400000095
66.17098544	66.17098544	0.022000074	-0.639999986	1.149999976
67.33360111	67.33360111	0.022000074	-0.560000002	-1.289999962
68.52997526	68.52997526	0.023000002	-1.799999952	3.289999962
69.77047064	69.77047064	0.022000074	-1.669999957	0.970000029
70.987878	70.987878	0.034999847	0.349999994	-2.230000019
72.6895767	72.6895767	0.021000147	-1.100000024	1.299999952
73.91612426	73.91612426	0.021000147	-1.679999948	1.440000057
75.06123065	75.06123065	0.019000053	-1.179999948	-0.790000021
76.04331817	76.04331817	0.019999981	0.219999999	-1.879999995
77.19823293	77.19823293	0.022000074	2.329999924	-1.549999952
78.41062026	78.41062026	0.019999981	-0.230000004	-3.619999886
79.43402349	79.43402349	0.09800005	-1.340000033	0.660000026
