time	xaccel	yaccel
0.040999889	0.000000000	-0.600000024
0.060999889	0.243478241	-0.765217398
0.080999889	3.406521269	2.181303748
0.100999889	4.483333160	-0.730016236
0.120999889	5.276006173	-1.643991818
0.140999889	4.136985547	-0.666996311
0.160999889	4.356011220	-1.061006489
0.180999889	2.243291515	1.080038318
0.200999889	1.753501091	-0.149619367
0.220999889	2.369987382	-1.576636140
0.240999889	1.193768988	0.837652493
0.260999889	-1.297341272	2.796010097
0.280999889	1.354832369	-1.282250468
0.300999889	2.820028573	-0.827479510
0.320999889	1.558208093	-2.323534948
0.340999889	-0.844401541	-0.437704031
0.360999889	-0.981666376	1.485575730
0.380999889	1.737522027	-1.877568237
0.400999889	2.162781671	-3.275224383
0.420999889	0.894024753	0.343545196
0.440999889	0.999570357	0.239028786
0.460999889	0.801024821	0.992187033
0.480999889	0.809490558	0.581514048
0.500999889	0.941300211	0.637426646
0.520999889	0.469984320	2.856059372
0.540999889	0.309118670	4.146305236
0.560999889	1.518678667	0.778220369
0.580999889	0.310010969	-2.099985088
0.600999889	1.093346618	-1.041648689
0.620999889	1.021422547	0.030975053
0.640999889	-0.827554155	-0.465023339
0.660999889	-1.304086461	0.098213101
0.680999889	-0.668064669	-0.733397092
0.700999889	-0.375458246	-1.572732505
0.720999889	-0.653824910	0.531102434
0.740999889	-0.957277189	2.410413832
0.760999889	-0.677235693	-0.697967846
0.780999889	0.333371793	-4.822069287
0.800999889	1.266704772	-1.110959513
0.820999889	0.893251578	0.769985251
0.840999889	-0.680823854	0.242638517
0.860999889	1.310000774	-1.830101782
0.880999889	1.188944907	-4.008850298
0.900999889	-1.629995507	1.409956493
0.920999889	-1.477615654	-0.066223619
0.940999889	0.412764716	-1.694576439
0.960999889	1.466517112	-1.718994970
0.980999889	1.563042611	-0.534321828
1.000999889	1.876676535	-0.135833510
1.020999889	0.782671156	1.446430595
1.040999889	-0.201970400	0.373854950
1.060999889	0.481988343	-3.561973117
1.080999889	0.242862993	-2.777619455
1.100999889	0.166650572	-1.736596970
1.120999889	-0.500009682	1.344338158
1.140999889	-0.927271809	3.157247640
1.160999889	-0.729994308	0.946662186
1.180999889	0.070005402	0.324440210
1.200999889	0.073321390	0.493346571
1.220999889	-0.875996786	1.997013575
1.240999889	-0.309077200	1.646319825
1.260999889	0.929532550	-2.094782349
1.280999889	1.737497494	-4.089995057
1.300999889	0.054159174	-0.823318812
1.320999889	-0.358182300	-0.452726959
1.340999889	-1.559530097	1.077627155
1.360999889	-1.037269963	2.237275520
1.380999889	-0.465831828	1.647495043
1.400999889	-0.247272566	-0.253645631
1.420999889	0.333045714	-2.142175374
1.440999889	1.204090439	-2.739999672
1.460999889	0.465457624	-1.915917743
1.480999889	-0.636364061	1.039104237
1.500999889	-0.563637047	-1.179070063
1.520999889	-1.584337400	2.493439873
1.540999889	-1.705455960	1.602753311
1.560999889	-0.862011854	-0.309981174
1.580999889	0.292278878	-2.138560624
1.600999889	-0.961887730	0.963767959
1.620999889	-1.597132128	1.419997462
1.640999889	-1.232643512	-0.555209719
1.660999889	0.079968931	-1.770975805
1.680999889	1.946315375	-1.610007498
1.700999889	0.282064084	-3.205948066
1.720999889	-0.411218777	-2.921246452
1.740999889	-0.637749279	-2.047777528
1.760999889	-0.864279782	-1.174308604
1.780999889	-1.090810285	-0.300839680
1.800999889	-1.317340787	0.572629244
