time	xaccel	yaccel	cumulative_time	xaccel_filtered_iir	yaccel_filtered_iir
0.040999889	0.000000000	-0.600000024	0.040999889	0.000754355	-0.601501361
0.060999889	0.243478241	-0.765217398	0.060999889	1.061356475	0.570611768
0.080999889	3.406521269	2.181303748	0.080999889	2.763729593	0.751247858
0.100999889	4.483333160	-0.730016236	0.100999889	4.532426685	-0.262199897
0.120999889	5.276006173	-1.643991818	0.120999889	5.266353431	-1.354975602
0.140999889	4.136985547	-0.666996311	0.140999889	4.664748162	-1.201758269
0.160999889	4.356011220	-1.061006489	0.160999889	3.461889954	-0.149477324
0.180999889	2.243291515	1.080038318	0.180999889	2.649359503	0.195133515
0.200999889	1.753501091	-0.149619367	0.200999889	2.368302275	-0.444843469
0.220999889	2.369987382	-1.576636140	0.220999889	1.736483919	-0.460710271
0.240999889	1.193768988	0.837652493	0.240999889	0.493088294	0.784046016
0.260999889	-1.297341272	2.796010097	0.260999889	0.016692958	1.445054050
0.280999889	1.354832369	-1.282250468	0.280999889	1.163708594	0.074611056
0.300999889	2.820028573	-0.827479510	0.300999889	2.249978730	-1.741772950
0.320999889	1.558208093	-2.323534948	0.320999889	1.380381412	-1.630697422
0.340999889	-0.844401541	-0.437704031	0.340999889	-0.363553992	-0.132996715
0.360999889	-0.981666376	1.485575730	0.360999889	-0.513525872	0.135654463
0.380999889	1.737522027	-1.877568237	0.380999889	0.981438595	-1.340016284
0.400999889	2.162781671	-3.275224383	0.400999889	1.987927776	-2.171710924
0.420999889	0.894024753	0.343545196	0.420999889	1.554445972	-0.928520522
0.440999889	0.999570357	0.239028786	0.440999889	0.788890915	0.717344201
0.460999889	0.801024821	0.992187033	0.460999889	0.674810347	0.869707502
0.480999889	0.809490558	0.581514048	0.480999889	0.883192993	0.369542226
0.500999889	0.941300211	0.637426646	0.500999889	0.830560150	1.186376533
0.520999889	0.469984320	2.856059372	0.520999889	0.603855322	2.964928329
0.540999889	0.309118670	4.146305236	0.540999889	0.554053867	3.226705386
0.560999889	1.518678667	0.778220369	0.560999889	0.753790810	1.072306553
0.580999889	0.310010969	-2.099985088	0.580999889	1.040744184	-1.313824197
0.600999889	1.093346618	-1.041648689	0.600999889	1.074693647	-1.639750772
0.620999889	1.021422547	0.030975053	0.620999889	0.477832951	-0.349207239
0.640999889	-0.827554155	-0.465023339	0.640999889	-0.538929156	0.415679999
0.660999889	-1.304086461	0.098213101	0.660999889	-1.101633392	-0.346253481
0.680999889	-0.668064669	-0.733397092	0.680999889	-0.823757740	-1.348815028
0.700999889	-0.375458246	-1.572732505	0.700999889	-0.441762774	-0.724697032
0.720999889	-0.653824910	0.531102434	0.720999889	-0.658255066	1.051036357
0.740999889	-0.957277189	2.410413832	0.740999889	-0.977857779	1.199568047
0.760999889	-0.677235693	-0.697967846	0.760999889	-0.512162110	-1.169363313
0.780999889	0.333371793	-4.822069287	0.780999889	0.470473201	-3.005076425
0.800999889	1.266704772	-1.110959513	0.800999889	0.868872547	-1.783504623
0.820999889	0.893251578	0.769985251	0.820999889	0.556641196	0.360038766
0.840999889	-0.680823854	0.242638517	0.840999889	0.493909661	0.061553520
0.860999889	1.310000774	-1.830101782	0.860999889	0.785830592	-1.894051701
0.880999889	1.188944907	-4.008850298	0.880999889	0.372828725	-2.223554282
0.900999889	-1.629995507	1.409956493	0.900999889	-0.805458576	-0.618634718
0.920999889	-1.477615654	-0.066223619	0.920999889	-1.245448786	0.189975142
0.940999889	0.412764716	-1.694576439	0.940999889	-0.147364090	-0.890526798
0.960999889	1.466517112	-1.718994970	0.960999889	1.414481340	-1.923018507
0.980999889	1.563042611	-0.534321828	0.980999889	2.055063201	-1.162774808
1.000999889	1.876676535	-0.135833510	1.000999889	1.564053836	0.624751004
1.020999889	0.782671156	1.446430595	1.020999889	0.667251517	1.279601663
1.040999889	-0.201970400	0.373854950	1.040999889	0.143521490	-0.270244069
1.060999889	0.481988343	-3.561973117	1.060999889	0.208755470	-2.686744473
1.080999889	0.242862993	-2.777619455	1.080999889	0.391151420	-3.395751057
1.100999889	0.166650572	-1.736596970	1.100999889	0.102250977	-1.379064012
1.120999889	-0.500009682	1.344338158	1.120999889	-0.568497848	1.497978378
1.140999889	-0.927271809	3.157247640	1.140999889	-0.893108289	2.517073423
1.160999889	-0.729994308	0.946662186	1.160999889	-0.516467686	1.327107653
1.180999889	0.070005402	0.324440210	1.180999889	-0.061401517	0.232479825
1.200999889	0.073321390	0.493346571	1.200999889	-0.223893921	0.884335041
1.220999889	-0.875996786	1.997013575	1.220999889	-0.586623682	1.870959463
1.240999889	-0.309077200	1.646319825	1.240999889	-0.185303165	0.885010148
1.260999889	0.929532550	-2.094782349	1.260999889	0.866000214	-1.654769624
1.280999889	1.737497494	-4.089995057	1.280999889	1.333054804	-3.094943877
1.300999889	0.054159174	-0.823318812	1.300999889	0.564762260	-2.181820088
1.320999889	-0.358182300	-0.452726959	1.320999889	-0.675383416	-0.143196964
